name,code,professor,school,description,semester,day,time,term
Research,SBS 350 73,Geller,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work along the lines of fundamental or applied research in the department.,2020 Fall,,,Full Term
CoLLab: Disruptive Performance in Liquid Times,TDM 134R,Levine,FAS,"The poet Askia Muhammad Tore asked whether Black music could become â€œa potent weapon in the Black freedom struggle.â€Â Can we ask the same of theater and performance that we might identify as what playwright Naomi Wallace calls, â€œengagedâ€ ? Wallace offers the term up through example rather than definition: â€œEngaged, for example, with questions of power and its myriad forms; questions of who has it and who doesn't, and the reasons why. Questions of what happen",2020 Fall,T,3:00pm - 5:45pm,Full Term
Research,SBS 350 41,Ramanadhan,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work along the lines of fundamental or applied research in the department.,2020 Fall,,,Fall 1
Laboratory for Computational Cognitive Science and Development,PSY 2362R,Ullman,FAS,"The lab course provides instruction and experience inÂ conducting research on computational cognitive science, with an emphasis on cognitive development and program induction.Â Open to graduate and undergraduate students working in the instructorâ€™s laboratory. Undergraduates are required to write research report at the end of the semester on the studies in the lab.",2020 Fall,,,Full Term
Laboratory for Computational Cognitive Science and Development,PSY 2362R,Ullman,FAS,"The lab course provides instruction and experience inÂ conducting research on computational cognitive science, with an emphasis on cognitive development and program induction.Â Open to graduate and undergraduate students working in the instructorâ€™s laboratory. Undergraduates are required to write research report at the end of the semester on the studies in the lab.",2021 Spring,,,Full Term
Research,SBS 350 12,Tiemeier,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work along the lines of fundamental or applied research in the department.,2020 Fall,,,Fall 2
Teaching and Professional Development Colloquium,ENGLISH 350,Ocheltree,FAS,"The craft of teaching (discussion, lectures, tutorials, course descriptions, syllabi). This colloquium, designed for third-year graduate students, also considers issues related to the field exam, prospectus, and other aspects of advanced graduate study in English.",2020 Fall,F,12:00pm - 2:45pm,Full Term
Red Scares,HIST-LIT 90DV,Biel,FAS,"When, in his 2019 State of the Union address,Â PresidentÂ Trump said, â€œWe are born free, and we will stay free. Tonight, we renew our resolve that America will never be a socialist country,â€ he invoked American rhetoric that is at least one hundred years old. The first so-called Red Scare, precipitated by World War I and the Bolshevik Revolution in Russia, produced the Espionage Act, which was recently used to charge former CIA analyst Edward Snowden in the leak of classified",2021 Spring,T,12:00pm - 2:45pm,Full Term
Research,SBS 350 40,Kubzansky,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work along the lines of fundamental or applied research in the department.,2020 Fall,,,Fall 2
Research,SBS 350 42,Ramanadhan,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work along the lines of fundamental or applied research in the department.,2020 Fall,,,Fall 2
The Making of a Musical: The Creative Process,TDM 194,McKittrick,FAS,"This course introduces students to the collaborative process of creating a new musical by analyzing the real time development of world premiere musicalsÂ at the American Repertory Theater.Â In addition to these case studies, the course will examine other existing American musicals including West Side Story, Assassins, Pippin and Waitress.Â Through readings by historians, theorists and practitioners and visits from artists and professionals across the field, students will learn abou",2021 Spring,,,Full Term
Research,SBS 350 55,Austin,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work along the lines of fundamental or applied research in the department.,2020 Fall,,,Fall 2
Texts in Transition,GENED 1034,Blair,FAS,"We live in a moment of rapid changes in the ways we communicate. As our writing becomes ever more digitalâ€”and paradoxically both more ephemeral and more durableâ€”the attitudes and tools we have for preserving our culture seem more complex and fluid. This course studies how written languageâ€”textâ€” travels through time and across media. We will ask: how good are texts for capturing, transmitting, and preserving human experience? How have texts come down to us from the distant",2020 Fall,M W,3:00pm - 4:15pm,Full Term
Research,SBS 350 19,Gortmaker,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work along the lines of fundamental or applied research in the department.,2021 Spring,,,Full Term
Global Feminisms,GENED 1036,Mitra,FAS,"Feminism shapes the world we live in today. Debates about women's and sexual rights define almost every public debate today -- from sexual harassment, to electoral politics, to development, public health, human rights, and political protest. But when, and where, did ideas of women's equal rights and liberation emerge?Â This course digs into the deep history of feminism from a global perspective. It traces the intimate relationship between feminism, colonialism, and racism in case stu",2020 Fall,M W,10:30am - 11:45am,Full Term
Sleep,GENED 1038 002,Czeisler,FAS,"What is sleep? Why do we sleep? Why don't we sleep? How much sleep do you need? What are circadian rhythms? How do technology and culture impact sleep? This course will explore the role of sleep and circadian timing in maintaining health, improving performance and enhancing safety. We will evaluate the causes and consequences of the epidemic of sleep disorders and deficiency in our society, with particularattention to impacts on brain (learning and memory, mood and cognition) and body (appet",2020 Fall,T Th,7:30pm - 8:45pm,Full Term
Ancient Slavery,CLS-STDY 148,Morgan,FAS,"This course shines a spotlight on the enslaved populations of Greece and Romeâ€”their thoughts and experiences, hopes and fears. We will consider how far it is possible to reconstruct the lives of slaves in antiquity; and how the ancients themselves justified and normalized the institution of slavery in their literature, philosophy, and rhetoric. We will also explore the dark legacy of ancient slavery in modern times, and ask what can be learned from the comparison of slave systems across di",2020 Fall,T Th,Split Schedule,Full Term
Independent Study,WGH 300 34,James-Todd,HSPH,An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of regular courses.,2020 Fall,,,Full Term
Prediction: The Past and Present of the Future,GENED 1112,Goodman,FAS,"Human beings are the only creatures in the animal kingdom properly defined as worriers. We are the only ones who expend tremendous amounts of time, energy, and resources trying (sometimes obsessively) to understand our futures before they happen. While the innate ability of individual people to predict has not changed much in the past few millennia, developments in mathematical and conceptual models have inordinately improved predictive systems. These systems have integrated comparisons to past",2021 Spring,T Th,1:30pm - 2:45pm,Full Term
Topics in Paleomagnetism,E-PSCI 361,Fu,FAS,,2020 Fall,,,Dynamically Dated
Software Studio,MIT 6 .170,TBA,NONH,"Provides design-focused instruction on how to build software applications. Design topics include classic human-computer interaction (HCI) design tactics (need finding, heuristic evaluation, prototyping, user testing), conceptual design (modeling and evaluating constituent concepts), abstract data modeling, and visual design. Implementation topics include functional programming in Javascript, reactive front-ends, web services, and databases. Students work in teams on term-long projects in which t",2020 Fall,,,Full Term
Data-Communication Networks,MIT 16 .37,TBA,NONH,"Provides an introduction to data networks with an analytic perspective, using wireless networks, satellite networks, optical networks, the internet and data centers as primary applications. Presents basic tools for modeling and performance analysis. Draws upon concepts fromÂ stochasticÂ processes,Â queuing theory, and optimization.",2020 Fall,,,Full Term
Data-Communication Networks,MIT 6 .263,TBA,NONH,"Provides an introduction to data networks with an analytic perspective, using wireless networks, satellite networks, optical networks, the internet and data centers as primary applications. Presents basic tools for modeling and performance analysis. Draws upon concepts fromÂ stochasticÂ processes,Â queuing theory, and optimization.",2020 Fall,,,Full Term
Quantitative Science and Clinical Research in Healthcare Service Operations,CSO 707,Henshaw,HMS,"A core skillset for clinical operations leaders is understanding and using data to make decisions. This course will provide exposure to the use of quantitative data for analysis, program development, quality monitoring and improvement, and real-world decision-making related to the patient experience and provider performance. The course will also provide the clinical operations leader with valuable insights on clinical research and grants management. Specifically, students will learn how to inter",2020 Fall,M,3:00pm - 4:59pm,Full Term
Introduction to Modeling and Simulation,MIT 16 .910,TBA,NONH,"Introduction to computational techniques for modeling and simulation of a variety of large and complex engineering, science, and socio-economical systems. Prepares students for practical use and development of computational engineering in their own research and future work. Topics include mathematical formulations (e.g., automatic assembly of constitutive and conservation principles); linear system solvers (sparse and iterative); nonlinear solvers (Newton and homotopy); ordinary, time-periodic a",2020 Fall,,,Full Term
Independent Study,WGH 300 19,Langer,HSPH,An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of regular courses.,2021 Spring,,,Full Term
Integrating New Technology into Healthcare Delivery,CSO 708,TBA,HMS,"Technological advances in healthcare are exploding at a rapid pace. The clinical operations leader needs a firm grasp of how to evaluate and implement new technologies into workflow.Â Telemedicine and digital health are two major disruptive technologies that are resulting in entirely new processes and workflows. Additionally, the role of artificial intelligence and big data are a major trend that will likely be part of basic operations over the next 10 years. Clinical operations leaders nee",2021 Spring,Th,10:00am - 11:30am,Full Term
Negotiation,HBSMBA 2240 3,Goldenberg,HBSM,http://www.hbs.edu/coursecatalog/2240.html,2020 Fall,W Th F,10:30am - 11:50am,Full Term
Founder's Journey,HBSMBA 1676,Ghosh,HBSM,http://www.hbs.edu/coursecatalog/1676.html,2020 Fall,M T W,10:30am - 11:50am,Full Term
Independent Study,WGH 300 40,Katz-Wise,HSPH,An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of regular courses.,2021 Spring,,,Full Term
Independent Study,WGH 300 44,Reisner,HSPH,An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of regular courses.,2021 Spring,,,Full Term
Independent Study,WGH 300 8,Charlton,HSPH,An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of regular courses.,2021 Spring,,,Spring 1
Cellular Neurophysiology and Computing,MIT HST .541,TBA,NONH,"Integrated overview of the biophysics of cells from prokaryotes to neurons, with a focus on mass transport and electrical signal generation across cell membrane. First third of course focuses on mass transport through membranes: diffusion, osmosis, chemically mediated, and active transport. Second third focuses on electrical properties of cells: ion transport to action potential generation and propagation in electrically excitable cells. Synaptic transmission. Electrical properties interpreted v",2020 Fall,,,Full Term
Special Subject in Women's and Gender Studies,MIT WGS .S10,TBA,NONH,Covers topics not included in regular curriculum; taught in seminar format. May be repeated for credit with permission of instructor.,2020 Fall,,,Full Term
Applied Quantum and Statistical Physics,MIT 6 .728,TBA,NONH,"Elementary quantum mechanics and statistical physics. Introduces applied quantum physics. Emphasizes experimental basis for quantum mechanics. Applies Schrodinger's equation to the free particle, tunneling, the harmonic oscillator, and hydrogen atom. Variational methods. Elementary statistical physics; Fermi-Dirac, Bose-Einstein, and Boltzmann distribution functions. Simple models for metals, semiconductors, and devices such as electron microscopes, scanning tunneling microscope, thermonic emitt",2020 Fall,,,Full Term
System Safety Concepts,MIT IDS .340,TBA,NONH,"Covers important concepts and techniques in designing and operating safety-critical systems. Topics include the nature of risk, formal accident and human error models, causes of accidents, fundamental concepts of system safety engineering, system and software hazard analysis, designing for safety, fault tolerance, safety issues in the design of human-machine interaction, verification of safety, creating a safety culture, and management of safety-critical projects. Includes a class project involv",2020 Fall,,,Full Term
Computer Networks,MIT 6 .829,TBA,NONH,"Topics on the engineering and analysis of network protocols and architecture, including architectural principles for designing heterogeneous networks; transport protocols; Internet routing; router design; congestion control and network resource management; wireless networks; network security; naming; overlay and peer-to-peer networks. Readings from original research papers. Semester-long project and paper.",2020 Fall,,,Full Term
Distributed Algorithms,MIT 18 .437,TBA,NONH,"Design and analysis of concurrent algorithms, emphasizing those suitable for use in distributed networks. Process synchronization, allocation of computational resources, distributed consensus, distributed graph algorithms, election of a leader in a network, distributed termination, deadlock detection, concurrency control, communication, and clock synchronization. Special consideration given to issues of efficiency and fault tolerance. Formal models and proof methods for distributed computation.",2020 Fall,,,Full Term
Independent Thesis in Satisfaction of Degree MArch,ADV 9301,Howeler,GSD,"The Thesis Program encourages students to take advantage of the wide range of resources and research initiatives of the Graduate School of Design and its faculty to make a thoughtful contribution to the discipline. Thesis is a required component of the March I program, and an optional track for the March II program.Each student works on a final thesis project based upon the interests and research done in the semesters leading up to the final term and under the guidance of a designated faculty ad",2020 Fall,,,Full Term
Preparation of MLA Design Thesis,ADV 9341,Waldheim,GSD,"A thesis is a thematic proposition offered for discussion and debate. A thesis is typically developed through a piece of original research specific to an academic discipline, often at the culmination of a program of study. Theses are produced through various methods as appropriate to the disciplinary commitments of academic fields across the research university. Design theses are pursued through the methods and media specific to the design disciplines, through design research. Design research mo",2020 Fall,M,4:30pm - 5:59pm,Full Term
Human Rights at Home and Abroad,MIT 17 .391,TBA,NONH,"Provides a rigorous and critical introduction to the history, foundation, structure, and operation of the human rights movement. Focuses on key ideas, actors, methods and sources, and critically evaluates the field. Addresses current debates in human rights, including the relationship with security, democracy, development and globalization, urbanization, equality (in housing and other economic and social rights; women's rights; ethnic, religious and racial discrimination; and policing/conflict),",2020 Fall,,,Full Term
Independent Project in General Management,HBSMBA 8301 1,McGee,HBSM,http://www.hbs.edu/coursecatalog/8301.html,2020 Fall,,,Full Term
Urban Energy Systems and Policy,MIT 11 .477,TBA,NONH,"Examines efforts in developing and advanced nations and regions. Examines key issues in the current and future development of urban energy systems, such as technology, use, behavior, regulation, climate change, and lack of access or energy poverty. Case studies on a diverse sampling of cities explore how prospective technologies and policies can be implemented. Includes intensive group research projects, discussion, and debate.",2020 Fall,,,Full Term
Human Rights at Home and Abroad,MIT 11 .497,TBA,NONH,"Provides a rigorous and critical introduction to the history, foundation, structure, and operation of the human rights movement. Focuses on key ideas, actors, methods and sources, and critically evaluates the field. Addresses current debates in human rights, including the relationship with security, democracy, development and globalization, urbanization, equality (in housing and other economic and social rights; women's rights; ethnic, religious and racial discrimination; and policing/conflict),",2020 Fall,,,Full Term
Theories and Practices of Landscape Architecture,DES 3242,Perez-Ramos,GSD,"What do you need to know in order to understand this landscape? This course explores how cultural values are embedded in the design of landscapes. In each class, we will map the assumptions that inform how landscape is designed and interpreted. Looking primarily at case studies from the 20th century, we will examine how landscapes have grappled with inherited dichotomies, whether between human and non-human, nature and culture, discreteness and continuity, or between process and outcome. By lear",2021 Spring,,,Full Term
Methods and Problems in Microbiology,MIT 1 .86,TBA,NONH,Students will read and discuss primary literature covering key areas of microbial research with emphasis on methods and approaches used to understand and manipulate microbes.,2020 Fall,,,Full Term
Investment Management for Professional and Personal Investors,HBSMBA 1446 1,Viceira,HBSM,http://www.hbs.edu/coursecatalog/1446.html,2020 Fall,M T W,8:30am - 9:50am,Full Term
Microbial Genetics and Evolution,MIT 12 .493,TBA,NONH,"Covers aspects of microbial genetic and genomic analyses, central dogma, horizontal gene transfer, and evolution.",2020 Fall,,,Full Term
Field Course: Entrepreneurial Marketing,HBSMBA 6932 2,Wallace,HBSM,http://www.hbs.edu/coursecatalog/6932.html,2020 Fall,M T W,2:40pm - 4:00pm,Full Term
Fast Methods for Partial Differential and Integral Equations,MIT 18 .336,TBA,NONH,"Unified introduction to the theory and practice of modern, near linear-time, numerical methods for large-scale partial-differential and integral equations. Topics include preconditioned iterative methods; generalized Fast Fourier Transform and other butterfly-based methods; multiresolution approaches, such as multigrid algorithms and hierarchical low-rank matrix decompositions; and low and high frequency Fast Multipole Methods. Example applications include aircraft design, cardiovascular system",2020 Fall,,,Full Term
EC Kickoff,HBSMBA 9901 9,Badaracco,HBSM,http://www.hbs.edu/coursecatalog/9901.html,2020 Fall,T,,Full Term
EC Kickoff,HBSMBA 9901 10,Sucher,HBSM,http://www.hbs.edu/coursecatalog/9901.html,2020 Fall,T,,Full Term
Intermediate Heat and Mass Transfer,MIT 2 .51,TBA,NONH,"Covers conduction (governing equations and boundary conditions, steady and unsteady heat transfer, resistance concept); laminar and turbulent convection (forced-convection and natural-convection boundary layers, external flows); radiation (blackbody and graybody exchange, spectral and solar radiation); coupled conduction, convection, radiation problems; synthesis of analytical, computational, and experimental techniques; and mass transfer at low rates, evaporation.",2020 Fall,,,Full Term
Relativity,MIT 8 .033,TBA,NONH,"Einstein's postulates; consequences for simultaneity, time dilation, length contraction, and clock synchronization; Lorentz transformation; relativistic effects and paradoxes; Minkowski diagrams; invariants and four-vectors; momentum, energy, and mass; particle collisions. Relativity and electricity; Coulomb's law; magnetic fields. Brief introduction to Newtonian cosmology. Introduction to some concepts of general relativity; principle of equivalence. The Schwarzchild metric; gravitational red s",2020 Fall,,,Full Term
Electromagnetism II,MIT 8 .07,TBA,NONH,"Survey of basic electromagnetic phenomena: electrostatics, magnetostatics; electromagnetic properties of matter. Time-dependent electromagnetic fields and Maxwell's equations. Electromagnetic waves, emission, absorption, and scattering of radiation. Relativistic electrodynamics and mechanics.",2020 Fall,,,Full Term
Bio-inspired Robotics,MIT 2 .74,TBA,NONH,"Interdisciplinary approach to bio-inspired design, with emphasis on principle extraction applicable to various robotics research fields, such as robotics, prosthetics, and human assistive technologies. Focuses on three main components: biomechanics, numerical techniques that allow multi-body dynamics simulation with environmental interaction and optimization, and basic robotics techniques and implementation skills. Students integrate the components into a final robotic system project of their ch",2020 Fall,,,Full Term
Biomaterials Science and Engineering,MIT 3 .055,TBA,NONH,"Covers, at a molecular scale, the analysis and design of materials used in contact with biological systems, and biomimetic strategies aimed at creating new materials based on principles found in biology. Topics include molecular interaction between bio- and synthetic molecules and surfaces; design, synthesis, and processing approaches for materials that control cell functions; and application of materials science to problems in tissue engineering, drug delivery, vaccines, and cell-guiding surfac",2020 Fall,,,Full Term
Relativistic Quantum Field Theory II,MIT 8 .324,TBA,NONH,"The second term of the quantum field theory sequence. Develops in depth some of the topics discussed in 8.323 and introduces some advanced material. Topics: perturbation theory and Feynman diagrams, scattering theory, Quantum Electrodynamics, one loop renormalization, quantization of non-abelian gauge theories, the Standard Model of particle physics, other topics.",2020 Fall,,,Full Term
Frameworks of Practice,PRO 7408,Reidel,GSD,"How should we practice today?The discipline, the profession, and the practice of architecture are invented and designed things. And the roles, relationships, protocols, and expertise that define architectureâ€™s overarching frameworks are neither ancient nor fixed, even if buildings and the people who design them have existed for millennia. That said, for much of the twentieth century, the pace of change in the discipline, profession, and practice of architectureâ€”and how one navigates",2020 Fall,M W,8:30am - 10:00am,Full Term
Intermediate Medical Spanish,LN 705B,Canenguez,HMS,"Intermediate Medical Spanish is designed for students with some working knowledge of conversational Spanish. Students can take one semester or both semesters of this course. The Fall course (LN705A) will have a particular focus on the basics of taking a medical history with patients. The Spring course (LN705B) will build on the medical history and introduce a range of medical specialty assessments (such as pediatrics, mental health, oral health, nutrition). With weekly sessions led by HMS teachi",2021 Spring,M,5:00pm - 6:30pm,Full Term
Construction Systems,SCI 6123,Vobis,GSD,"This course introduces students to methods of construction: conceptually, historically, and practically. We will consider how construction techniques emerge in relation to architectural desires and technical criteria in order to emphasize the architectâ€™s agency in shaping construction systems within the collaborative environment of contemporary building design. Construction has material, structural, spatial, economic, environmental, and cultural consequences. As such, this foundational cou",2020 Fall,W F,8:30am - 9:59am,Full Term
Intermediate Amharic,AMHARIC BB,Mugane,FAS,"A study of Afrikaans a major language spoken in South Africa at the Intermediate level (Second year part 2). Contact hours supplemented by digital resources sessions. Emphasis on written expression, reading comprehension, and oral fluency.Â Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year. Students taking Afrikaans BA in the Spring must note that Afrikaans BB is offered only in the Spring.",2021 Spring,,,Full Term
"Ecologies, Techniques, Technologies I",SCI 6141,Cunningham,GSD,"This course recognizes plants as one of the most expressive materials of the artform â€” a living medium that distinguishes the discipline from the other applied sciences and fine arts. The goal of the course is to introduce the global potential of plants as a means of design for shaping the character of a place for individual and collective human experience. Investigations that straddle hand-drawn, digital and analog mediums will explore the universally accessible and adaptive power of plan",2020 Fall,T Th,Split Schedule,Full Term
Special Subject: Comparative Media Studies,MIT CMS .S97,TBA,NONH,Seminar or lecture on a topic that is not covered in the regular curriculum.,2020 Fall,,,Full Term
Advanced Amharic II,AMHARIC 101BR,Mugane,FAS,"A study of Amharic theÂ statutory national language and major lingua francaÂ of Ethiopia at the Advanced level in the Spring semester. As needed, successive advanced readings in Amharic may be taken under Amharic 101br every Spring.",2021 Spring,,,Full Term
Synthetic Organic Chemistry I,MIT 5 .511,TBA,NONH,Introduction to the design of syntheses of complex organic compounds.,2020 Fall,,,Full Term
Cosmology,MIT 8 .942,TBA,NONH,"Thermal backgrounds in space. Cosmological principle and its consequences: Newtonian cosmology and types of ""universes""; survey of relativistic cosmology; horizons. Overview of evolution in cosmology; radiation and element synthesis; physical models of the ""early stages."" Formation of large-scale structure to variability of physical laws. First and last states. Some knowledge of relativity expected. 8.962 recommended though not required.",2020 Fall,,,Full Term
Corporate Finance: Corporate Financial Operations,HBSMBA 1416 2,Foley,HBSM,http://www.hbs.edu/coursecatalog/1416.html,2020 Fall,M T W,12:30pm - 1:50pm,Full Term
Special Subject: Comparative Media Studies,MIT CMS .S97,TBA,NONH,Seminar or lecture on a topic that is not covered in the regular curriculum.,2020 Fall,,,Full Term
Frontiers in Chemical Biology,MIT 7 .540,TBA,NONH,"Introduction to current research at the interface of chemistry, biology, and bioengineering. Topics include imaging of biological processes, metabolic pathway engineering, protein engineering, mechanisms of DNA damage, RNA structure and function, macromolecular machines, protein misfolding and disease, metabolomics, and methods for analyzing signaling network dynamics. Lectures are interspersed with class discussions and student presentations based on current literature.",2020 Fall,,,Full Term
Independent Study,WGH 300 29,Missmer,HSPH,An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of regular courses.,2021 Spring,,,Spring 1
"Innovation Systems for Science, Technology, Energy, Manufacturing, and Health",MIT 17 .395,TBA,NONH,"Examines science and technology innovation systems, including case studies on energy, computing, advanced manufacturing, and health sectors. Emphasizes public policy and the federal government's role in that system. Focuses on the US but uses international examples. Reviews foundations of economic growth theory, innovation systems theory, and the basic approaches to science and technology policy. Explores the organization and role of energy and medical science R&D agencies, as well as gaps in th",2020 Fall,,,Full Term
Seminar in Theoretical Computer Science,MIT 18 .434,TBA,NONH,Topics vary from year to year. Students present and discuss the subject matter. Instruction and practice in written and oral communication provided.,2020 Fall,,,Full Term
People and the Planet: Environmental Governance and Science,MIT 12 .387,TBA,NONH,"Introduces governance and science aspects of complex environmental problems and approaches to solutions. Introduces quantitative analyses and methodological tools to analyze environmental issues that have human and natural components. Demonstrates concepts through a series of in-depth case studies of environmental governance and science problems. Students develop writing, quantitative modeling, and analytical skills in assessing environmental systems problems and developing solutions. Through ex",2020 Fall,,,Full Term
Independent Project in Entrepreneurial Management,HBSMBA 8311 3,Cohen,HBSM,http://www.hbs.edu/coursecatalog/8311.html,2020 Fall,,,Full Term
Introduction to EECS via Communication Networks,MIT 6 .02,TBA,NONH,"Studies key concepts, systems, and algorithms to reliably communicate data in settings ranging from the cellular phone network and the Internet to deep space. Weekly laboratory experiments explore these areas in depth. Topics presented in three modules - bits, signals, and packets - spanning the multiple layers of a communication system. Bits module includes information, entropy, data compression algorithms, and error correction with block and convolutional codes. Signals module includes modelin",2020 Fall,,,Full Term
Independent Study,WGH 300 46,Reisner,HSPH,An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of regular courses.,2021 Spring,,,Spring 2
Introduction to Japanese Culture,MIT 21G .064,TBA,NONH,"Examines the major aesthetic, social, and political elements which have shaped modern Japanese culture and society. Readings on contemporary Japan and historical evolution of the culture are coordinated with study of literary texts, film, and art, along with an analysis of everyday life and leisure activities. Taught in English.",2020 Fall,,,Full Term
Cellular Neurophysiology and Computing,MIT 20 .370,TBA,NONH,"Integrated overview of the biophysics of cells from prokaryotes to neurons, with a focus on mass transport and electrical signal generation across cell membrane. First third of course focuses on mass transport through membranes: diffusion, osmosis, chemically mediated, and active transport. Second third focuses on electrical properties of cells: ion transport to action potential generation and propagation in electrically excitable cells. Synaptic transmission. Electrical properties interpreted v",2020 Fall,,,Full Term
Research in Civil and Environmental Engineering,MIT 1 .982,TBA,NONH,"For research assistants in the department, when assigned research is not used for thesis but is approved for academic credit. Credit for this subject may not be used for any degree granted by Course 1.",2020 Fall,,,Full Term
EC Kickoff,HBSMBA 9901 7,Hammond,HBSM,http://www.hbs.edu/coursecatalog/9901.html,2020 Fall,T,,Full Term
EC Kickoff,HBSMBA 9901 9,Badaracco,HBSM,http://www.hbs.edu/coursecatalog/9901.html,2020 Fall,T,,Full Term
EC Kickoff,HBSMBA 9901 10,Sucher,HBSM,http://www.hbs.edu/coursecatalog/9901.html,2020 Fall,T,,Full Term
Executing Strategy,HBSMBA 1312 1,Simons,HBSM,http://www.hbs.edu/coursecatalog/1312.html,2020 Fall,W Th F,8:40am - 10:00am,Full Term
Special Seminar: Urban Studies and Planning,MIT 11 .S952,TBA,NONH,For graduate students wishing to pursue further study in advanced areas of urban studies and city and regional planning not covered in regular subjects of instruction.,2020 Fall,,,Full Term
Organizational Behavior Lab,HBSDOC 4427,Amabile,HBSD,"Organizational Behavior (OB) Lab is a research workshop for those whose research interests center on micro-OBÂ that is, research interests based in micro-sociology, psychology or framed in psychological terms and relevant to organizational behavior.Â The research may include any and all methodologies.Â OB Lab is devoted to helping its members develop early-stage research projects.Â We aim for a constructive, collaborative atmosphere in which we can share ideas for projects, m",2020 Fall,T,3:00pm - 5:00pm,Full Term
